train_cost,test_cost,train_effeciency,test_efficiency
14.7863,29.4808,0.286996,0.236402
14.7774,29.473,0.288789,0.236402
14.7686,29.4652,0.290583,0.236402
14.7599,29.4575,0.29148,0.236402
14.7512,29.4497,0.293274,0.236402
14.7425,29.442,0.293274,0.236402
14.7338,29.4343,0.29417,0.236402
14.7252,29.4267,0.296861,0.236402
14.7166,29.419,0.296861,0.238494
14.708,29.4114,0.297758,0.238494
14.6995,29.4038,0.297758,0.240586
14.691,29.3962,0.298655,0.240586
14.6825,29.3887,0.298655,0.240586
14.674,29.3812,0.300448,0.246862
14.6656,29.3737,0.300448,0.246862
14.6572,29.3662,0.302242,0.246862
14.6489,29.3588,0.303139,0.246862
14.6406,29.3513,0.304933,0.246862
14.6323,29.3439,0.306726,0.248954
14.624,29.3365,0.306726,0.246862
14.6158,29.3292,0.30852,0.248954
14.6076,29.3219,0.30852,0.251046
14.5994,29.3146,0.310314,0.251046
14.5913,29.3073,0.310314,0.251046
14.5832,29.3,0.311211,0.251046
14.5751,29.2928,0.313004,0.251046
14.567,29.2855,0.313004,0.253138
14.559,29.2783,0.315695,0.25523
14.551,29.2712,0.316592,0.25523
14.5431,29.264,0.318386,0.257322
14.5351,29.2569,0.319283,0.257322
14.5272,29.2498,0.319283,0.257322
14.5193,29.2427,0.319283,0.259414
14.5115,29.2357,0.320179,0.259414
14.5036,29.2286,0.321076,0.261506
14.4959,29.2216,0.321076,0.261506
14.4881,29.2146,0.321076,0.263598
14.4803,29.2076,0.321076,0.263598
14.4726,29.2007,0.321973,0.263598
14.4649,29.1938,0.321973,0.263598
14.4573,29.1868,0.32287,0.26569
14.4497,29.18,0.32287,0.26569
14.442,29.1731,0.324664,0.267782
14.4345,29.1662,0.324664,0.267782
14.4269,29.1594,0.325561,0.267782
14.4194,29.1526,0.326457,0.267782
14.4119,29.1458,0.328251,0.267782
14.4044,29.1391,0.329148,0.267782
14.397,29.1323,0.329148,0.267782
14.3896,29.1256,0.330045,0.267782
14.3822,29.1189,0.330942,0.269874
14.3748,29.1123,0.331839,0.269874
14.3675,29.1056,0.331839,0.271967
14.3601,29.099,0.332735,0.271967
14.3529,29.0924,0.332735,0.271967
14.3456,29.0858,0.332735,0.274059
14.3384,29.0792,0.333632,0.274059
14.3311,29.0726,0.333632,0.274059
14.3239,29.0661,0.333632,0.274059
14.3168,29.0596,0.335426,0.274059
14.3096,29.0531,0.338117,0.276151
14.3025,29.0466,0.33991,0.276151
14.2954,29.0402,0.340807,0.276151
14.2884,29.0337,0.342601,0.276151
14.2813,29.0273,0.343498,0.278243
14.2743,29.0209,0.344395,0.278243
14.2673,29.0145,0.345291,0.278243
14.2603,29.0082,0.345291,0.278243
14.2534,29.0018,0.345291,0.278243
14.2465,28.9955,0.345291,0.278243
14.2396,28.9892,0.346188,0.278243
14.2327,28.9829,0.346188,0.278243
14.2259,28.9767,0.348879,0.280335
14.219,28.9704,0.350673,0.280335
14.2122,28.9642,0.350673,0.280335
14.2054,28.958,0.350673,0.282427
14.1987,28.9518,0.350673,0.284519
14.1919,28.9456,0.350673,0.284519
14.1852,28.9395,0.350673,0.284519
14.1785,28.9333,0.350673,0.284519
14.1719,28.9272,0.35157,0.284519
14.1652,28.9211,0.35157,0.284519
14.1586,28.915,0.352466,0.284519
14.152,28.909,0.35426,0.284519
14.1454,28.9029,0.356054,0.284519
14.1389,28.8969,0.356951,0.284519
14.1323,28.8909,0.356951,0.284519
14.1258,28.8849,0.358744,0.286611
14.1193,28.8789,0.358744,0.288703
14.1129,28.873,0.359641,0.290795
14.1064,28.8671,0.361435,0.290795
14.1,28.8611,0.364126,0.290795
14.0936,28.8552,0.365022,0.290795
14.0872,28.8493,0.365919,0.292887
14.0808,28.8435,0.367713,0.297071
14.0745,28.8376,0.367713,0.297071
14.0682,28.8318,0.369507,0.297071
14.0619,28.826,0.3713,0.297071
14.0556,28.8202,0.372197,0.297071
14.0493,28.8144,0.372197,0.297071
14.0431,28.8086,0.372197,0.297071
14.0369,28.8029,0.374888,0.297071
14.0307,28.7971,0.374888,0.297071
14.0245,28.7914,0.375785,0.297071
14.0183,28.7857,0.377578,0.297071
14.0122,28.78,0.378475,0.297071
14.0061,28.7744,0.379372,0.299163
14,28.7687,0.379372,0.299163
13.9939,28.7631,0.381166,0.299163
13.9878,28.7575,0.381166,0.299163
13.9818,28.7519,0.381166,0.299163
13.9758,28.7463,0.381166,0.301255
13.9698,28.7407,0.381166,0.301255
13.9638,28.7352,0.38296,0.301255
13.9578,28.7296,0.38565,0.301255
13.9519,28.7241,0.386547,0.301255
13.946,28.7186,0.389238,0.301255
13.9401,28.7131,0.390135,0.303347
13.9342,28.7076,0.390135,0.303347
13.9283,28.7021,0.391031,0.305439
13.9225,28.6967,0.391031,0.305439
13.9166,28.6913,0.392825,0.307531
13.9108,28.6859,0.392825,0.309623
13.905,28.6804,0.393722,0.309623
13.8992,28.6751,0.394619,0.309623
13.8935,28.6697,0.394619,0.309623
13.8878,28.6643,0.395516,0.309623
13.882,28.659,0.395516,0.311715
13.8763,28.6537,0.395516,0.311715
13.8706,28.6484,0.395516,0.311715
13.865,28.6431,0.397309,0.311715
